Time_min,T_in_leche,F_flow,T_servicio,t_ciclo,Delta_P,E_consumo,T_out_leche,Is_Cleaning
13080,4.62,4768.54,81.26,435,0.614,405.2,72.61,0
13085,5.19,4778.3,81.23,440,0.597,407.85,72.68,0
13090,4.92,4095.32,80.14,445,0.477,347.31,72.97,0
13095,4.46,5174.16,82.62,450,0.77,434.12,72.67,0
13100,5.03,4561.47,80.65,455,0.547,379.22,72.6,0
13105,4.17,5383.36,83.41,460,0.82,474.99,72.62,0
13110,4.55,5095.98,82.41,465,0.727,434.06,72.61,0
13115,4.18,5409.33,83.53,470,0.793,482.84,72.65,0
13120,5.14,4647.81,80.96,475,0.598,395.25,72.67,0
13125,4.48,4965.79,82.05,480,0.66,426.75,72.63,0
13130,5.53,4742.84,81.11,485,0.626,389.04,72.51,0
13135,4.68,5053.59,82.34,490,0.733,433.02,72.59,0
13140,5.45,5214.76,82.78,495,0.771,440.27,72.63,0
13145,4.63,5151.79,82.71,500,0.771,436.27,72.62,0
13150,5.34,4352.11,80.58,505,0.551,371.12,72.77,0
13155,4.62,5373.44,83.49,510,0.785,467.59,72.57,0
13160,4.91,4518.41,80.78,515,0.568,373.17,72.63,0
13165,4.69,5057.01,82.46,520,0.739,418.57,72.62,0
13170,5.12,4730.27,81.38,525,0.654,402.39,72.66,0
13175,4.91,5443.66,83.76,530,0.854,479.47,72.58,0
13180,5.19,5258.87,83.11,535,0.833,458.47,72.59,0
13185,5.19,5477.44,83.87,540,0.875,487.37,72.63,0
13190,4.97,5066.56,82.54,545,0.71,429.04,72.62,0
13195,5.08,4285.96,78.82,0,0.368,368.14,72.45,1
13200,4.98,4649.5,79.4,5,0.453,399.38,72.36,0
13205,5.0,4864.08,80.3,10,0.494,425.4,72.61,0
13210,5.13,4399.37,79.13,15,0.388,381.84,72.62,0
13215,4.79,5358.74,81.85,20,0.574,486.41,72.53,0
13220,4.73,4972.58,80.7,25,0.497,426.44,72.58,0
13225,4.72,5311.02,81.75,30,0.61,473.02,72.59,0
13230,4.68,4391.36,79.23,35,0.423,384.5,72.61,0
13235,5.17,4561.87,79.52,40,0.431,396.02,72.58,0
13240,5.06,5240.44,81.54,45,0.569,466.17,72.59,0
13245,4.8,5221.92,81.53,50,0.568,459.27,72.56,0
13250,5.01,5357.96,81.94,55,0.655,483.01,72.62,0
13255,4.53,4747.99,80.18,60,0.511,412.51,72.65,0
13260,5.24,4927.29,80.63,65,0.516,421.82,72.6,0
13265,5.14,4324.35,79.18,70,0.38,376.37,72.67,0
13270,4.77,4457.88,79.44,75,0.399,396.15,72.57,0
13275,5.04,4884.54,80.59,80,0.563,420.3,72.56,0
13280,4.78,4748.66,80.01,85,0.499,405.09,72.42,0
13285,4.94,4934.15,80.78,90,0.526,434.31,72.61,0
13290,5.19,4504.21,79.22,95,0.448,381.61,72.31,0
13295,5.29,4366.36,79.32,100,0.426,379.85,72.6,0
13300,5.06,4976.15,80.94,105,0.516,442.6,72.7,0
13305,4.91,4993.76,81.03,110,0.531,443.8,72.53,0
13310,4.92,4970.93,80.98,115,0.591,418.97,72.6,0
13315,5.39,4977.93,80.96,120,0.56,423.82,72.57,0
13320,5.12,4342.59,79.38,125,0.416,379.29,72.64,0
13325,5.32,4454.16,79.55,130,0.431,383.15,72.62,0
13330,5.09,5011.11,81.15,135,0.536,433.61,72.6,0
13335,5.03,5222.07,81.82,140,0.616,455.2,72.72,0
13340,4.89,4838.71,80.69,145,0.528,420.1,72.65,0
13345,4.68,4971.75,81.13,150,0.574,437.98,72.62,0
13350,4.79,4500.57,79.75,155,0.469,395.44,72.63,0
13355,5.19,5303.06,82.13,160,0.66,480.98,72.62,0
13360,5.34,4908.65,80.91,165,0.541,425.02,72.56,0
13365,4.97,4821.46,80.71,170,0.551,421.68,72.62,0
13370,4.9,5482.05,82.81,175,0.697,492.52,72.65,0
13375,5.12,5078.95,81.51,180,0.62,432.77,72.67,0
13380,5.08,5189.45,81.88,185,0.632,449.13,72.57,0
13385,5.09,5368.99,82.46,190,0.711,468.31,72.58,0
13390,4.32,5056.06,81.59,195,0.625,447.14,72.51,0
13395,4.57,4898.71,81.09,200,0.559,431.47,72.57,0
13400,5.51,4551.33,79.97,205,0.497,397.06,72.66,0
13405,4.65,4887.68,81.08,210,0.523,419.5,72.57,0
13410,4.87,5403.23,82.7,215,0.697,486.89,72.65,0
13415,5.06,4925.2,81.18,220,0.587,425.94,72.63,0
13420,5.04,4566.59,80.13,225,0.53,401.14,72.64,0
13425,5.31,4610.39,80.01,230,0.504,398.39,72.37,0
13430,5.14,4960.65,81.22,235,0.625,426.57,72.53,0
13435,4.78,5253.51,82.32,240,0.657,454.11,72.58,0
13440,5.07,4912.94,81.23,245,0.631,412.25,72.55,0
13445,4.97,5234.02,82.27,250,0.678,454.07,72.55,0
13450,5.25,5059.85,81.69,255,0.655,427.66,72.71,0
13455,5.02,5030.76,81.65,260,0.622,433.58,72.6,0
13460,4.56,5091.3,81.92,265,0.645,443.11,72.65,0
13465,4.96,4655.92,80.55,270,0.541,405.43,72.62,0
13470,5.12,5312.65,82.59,275,0.732,466.73,72.62,0
13475,4.5,5101.9,82.01,280,0.675,436.7,72.6,0
13480,4.69,4941.04,81.5,285,0.621,433.63,72.65,0
13485,4.43,4244.74,79.82,290,0.479,368.4,72.68,0
13490,4.76,4737.14,80.89,295,0.589,407.08,72.62,0
13495,4.94,5247.02,82.5,300,0.706,463.38,72.62,0
13500,5.03,5210.59,82.38,305,0.648,451.0,72.57,0
13505,4.99,4988.12,81.69,310,0.624,431.86,72.58,0
13510,4.66,4442.51,80.17,315,0.511,390.6,72.6,0
13515,4.68,5420.78,83.19,320,0.735,492.24,72.55,0
13520,4.41,5399.87,83.18,325,0.719,494.11,72.62,0
13525,5.03,4793.9,81.15,330,0.613,412.77,72.55,0
13530,4.76,4317.87,80.01,335,0.465,378.78,72.69,0
13535,4.82,5014.39,81.91,340,0.685,437.3,72.58,0
13540,4.67,4743.33,81.09,345,0.548,417.14,72.56,0
13545,5.36,4737.35,81.01,350,0.585,398.58,72.61,0
13550,4.73,5274.55,82.82,355,0.713,460.57,72.6,0
13555,5.16,5193.92,82.51,360,0.714,454.85,72.59,0
13560,5.04,5498.77,83.57,365,0.777,500.95,72.63,0
13565,4.76,5344.81,83.11,370,0.768,474.66,72.58,0
13570,5.3,5011.03,81.95,375,0.644,427.69,72.7,0
13575,4.94,4940.54,81.79,380,0.641,430.66,72.62,0
13580,4.76,4929.91,81.8,385,0.632,432.69,72.59,0
13585,5.47,4848.13,81.46,390,0.615,411.29,72.65,0
13590,5.26,5132.97,82.42,395,0.668,432.27,72.63,0
13595,4.68,4208.74,80.02,400,0.45,369.79,72.62,0
13600,4.97,5020.07,82.13,405,0.691,429.85,72.55,0
13605,5.04,5185.71,82.68,410,0.767,443.81,72.62,0
13610,4.96,4941.42,81.92,415,0.662,423.17,72.54,0
13615,4.95,5059.34,82.32,420,0.691,438.48,72.56,0
13620,4.88,4642.38,80.87,425,0.568,409.18,72.51,0
13625,4.86,5431.59,83.63,430,0.779,491.97,72.69,0
13630,5.22,4785.68,81.46,435,0.629,430.49,72.59,0
13635,4.69,4773.23,81.51,440,0.603,413.17,72.6,0
13640,4.93,4616.27,81.01,445,0.584,409.15,72.58,0
13645,5.02,4890.38,81.88,450,0.667,428.53,72.61,0
13650,5.19,5467.06,83.79,455,0.817,485.65,72.51,0
13655,4.6,4964.65,82.21,460,0.695,434.24,72.57,0
13660,4.64,5106.53,82.69,465,0.687,443.88,72.64,0
13665,4.94,4740.97,81.48,470,0.634,410.78,72.58,0
13670,5.46,4743.08,81.44,475,0.61,405.54,72.61,0
13675,4.93,4984.28,82.3,480,0.713,435.24,72.66,0
13680,5.12,5053.86,82.52,485,0.73,426.19,72.51,0
13685,5.0,4351.01,80.29,490,0.529,377.96,72.44,0
13690,4.71,4491.04,80.83,495,0.575,394.65,72.57,0
13695,5.07,4518.27,80.88,500,0.58,390.22,72.65,0
13700,4.86,4806.02,81.82,505,0.629,416.25,72.6,0
13705,4.9,5277.74,83.41,510,0.795,467.16,72.6,0
13710,5.14,5029.16,82.55,515,0.733,433.12,72.62,0
13715,4.93,4833.98,81.96,520,0.648,424.57,72.66,0
13720,4.81,4519.47,81.0,525,0.596,389.14,72.53,0
13725,4.56,4930.63,82.37,530,0.71,427.77,72.71,0
13730,5.02,4176.37,80.35,535,0.514,364.16,72.48,0
13735,5.49,4692.03,81.5,540,0.614,400.34,72.57,0
13740,4.81,5376.69,83.91,545,0.841,475.41,72.64,0
13745,5.17,4912.67,80.26,0,0.496,420.81,72.61,1
13750,4.95,4621.26,79.47,5,0.451,398.06,72.61,0
13755,4.59,4824.16,80.09,10,0.534,401.84,72.64,0
13760,4.67,5262.15,81.38,15,0.578,453.93,72.64,0
13765,5.25,4642.26,79.54,20,0.482,390.17,72.51,0
13770,4.85,5467.48,82.02,25,0.687,472.27,72.56,0
13775,4.78,4794.55,80.04,30,0.514,416.87,72.57,0
13780,4.92,5211.32,81.26,35,0.564,449.1,72.56,0
13785,4.96,4796.71,80.06,40,0.481,405.59,72.63,0
13790,4.76,4842.1,80.23,45,0.482,414.06,72.61,0
13795,4.48,5420.0,82.01,50,0.63,480.69,72.53,0
13800,5.06,4635.0,79.64,55,0.436,404.64,72.68,0
13805,5.28,5002.93,80.68,60,0.53,421.71,72.57,0
13810,5.12,4833.78,80.23,65,0.477,412.71,72.62,0
13815,5.42,4788.74,80.08,70,0.512,405.64,72.65,0
13820,4.8,5484.41,82.26,75,0.673,491.08,72.6,0
13825,4.96,4665.54,79.66,80,0.468,393.35,72.4,0
13830,4.88,4820.64,80.28,85,0.522,409.48,72.61,0
13835,4.6,4772.48,80.19,90,0.512,410.65,72.69,0
13840,4.98,4817.23,80.29,95,0.523,407.36,72.61,0
13845,4.4,3619.44,78.31,100,0.296,317.91,72.79,0
13850,4.83,4798.77,80.29,105,0.51,402.84,72.58,0
13855,5.04,4999.22,80.87,110,0.544,417.54,72.52,0
13860,5.25,4985.16,80.82,115,0.56,430.32,72.52,0
13865,4.37,5203.77,81.61,120,0.619,444.1,72.62,0
13870,5.55,5498.26,82.38,125,0.689,479.72,72.52,0
13875,5.39,5015.05,80.94,130,0.53,422.81,72.67,0
13880,5.35,5465.21,82.34,135,0.679,483.42,72.58,0
13885,5.07,4540.41,79.41,140,0.47,375.97,72.49,0
13890,4.77,4605.49,79.88,145,0.499,385.83,72.59,0
13895,5.5,4848.25,80.5,150,0.561,407.23,72.71,0
13900,4.86,4823.12,80.52,155,0.588,403.58,72.72,0
13905,4.94,5343.55,82.11,160,0.667,467.98,72.61,0
13910,4.58,4972.87,81.03,165,0.604,426.21,72.62,0
13915,4.87,5146.4,81.54,170,0.644,429.05,72.61,0
13920,4.93,5043.66,81.24,175,0.609,430.77,72.49,0
13925,5.5,5335.29,82.08,180,0.645,461.71,72.54,0
13930,5.6,5171.16,81.57,185,0.615,433.59,72.57,0
13935,4.99,4798.4,80.55,190,0.547,414.45,72.65,0
13940,5.03,4843.89,80.69,195,0.57,410.51,72.59,0
13945,4.5,4326.28,79.5,200,0.46,379.24,72.62,0
13950,5.33,4547.35,79.67,205,0.498,390.96,72.45,0
13955,4.86,4753.81,80.5,210,0.552,412.7,72.58,0
13960,5.44,4931.33,80.97,215,0.594,414.96,72.5,0
13965,5.17,4855.67,80.79,220,0.567,417.39,72.66,0
13970,4.98,5089.88,81.54,225,0.642,434.76,72.57,0
13975,5.36,4756.65,80.51,230,0.564,393.82,72.61,0
13980,5.5,4695.05,80.33,235,0.531,393.24,72.58,0
13985,5.04,4469.43,79.8,240,0.479,377.12,72.57,0
13990,5.35,4866.23,80.88,245,0.573,411.09,72.57,0
13995,5.29,4992.93,81.29,250,0.58,415.22,72.65,0
14000,5.42,4728.7,80.5,255,0.523,397.61,72.51,0
14005,4.49,4655.36,80.41,260,0.496,397.39,72.68,0
14010,4.61,5030.63,81.54,265,0.619,432.13,72.65,0
14015,4.62,4716.11,80.61,270,0.558,402.0,72.59,0
14020,5.03,5315.9,82.42,275,0.726,464.36,72.61,0
14025,4.77,4777.12,80.8,280,0.524,400.62,72.66,0
14030,4.72,5312.89,82.49,285,0.701,454.21,72.59,0
14035,4.75,4917.56,81.26,290,0.599,418.84,72.57,0
14040,5.34,4557.1,79.99,295,0.526,381.35,72.52,0
14045,4.78,5414.46,82.87,300,0.734,476.99,72.62,0
14050,6.0,5364.28,82.55,305,0.757,460.06,72.65,0
14055,5.45,4565.59,79.93,310,0.484,380.16,72.38,0
14060,5.21,4968.45,81.44,315,0.635,420.82,72.73,0
14065,5.57,5081.79,81.77,320,0.641,431.22,72.61,0
14070,5.16,5430.78,82.96,325,0.756,480.48,72.68,0
14075,4.17,5405.53,83.05,330,0.758,483.08,72.68,0
14080,5.07,4428.34,79.72,335,0.499,373.07,72.39,0
14085,4.28,4586.24,80.49,340,0.579,398.54,72.49,0
14090,5.15,5010.17,81.68,345,0.639,432.07,72.6,0
14095,4.74,5144.17,82.18,350,0.721,450.36,72.58,0
14100,5.62,5080.85,81.88,355,0.65,425.72,72.51,0
14105,5.31,5097.58,81.99,360,0.696,426.1,72.59,0
14110,5.09,5082.02,81.99,365,0.692,442.52,72.6,0
14115,4.56,5297.38,82.78,370,0.732,463.23,72.54,0
14120,4.83,5065.1,82.0,375,0.682,429.49,72.59,0
14125,5.12,4638.21,80.67,380,0.572,392.63,72.67,0
14130,4.62,5037.84,81.98,385,0.632,435.02,72.57,0
14135,5.0,4636.89,80.85,390,0.568,396.56,72.73,0
14140,5.22,5157.85,82.32,395,0.683,428.81,72.53,0
14145,5.39,4363.33,79.92,400,0.513,369.66,72.52,0
14150,4.82,5209.49,82.58,405,0.727,431.07,72.65,0
14155,5.04,4889.47,81.54,410,0.649,407.83,72.55,0
14160,5.37,4558.73,80.52,415,0.56,395.02,72.65,0
14165,5.25,4846.14,81.42,420,0.654,415.15,72.58,0
14170,4.55,4923.37,81.77,425,0.678,414.56,72.6,0
14175,5.22,4665.88,80.91,430,0.592,395.36,72.58,0
14180,5.08,5420.74,83.36,435,0.763,482.9,72.58,0
14185,4.87,5417.08,83.39,440,0.772,482.23,72.56,0
14190,4.58,5082.17,82.34,445,0.673,436.36,72.53,0
14195,4.98,5316.81,83.08,450,0.786,458.59,72.59,0
14200,5.3,4483.3,80.45,455,0.539,385.9,72.67,0
14205,4.94,4326.44,80.27,460,0.506,364.65,72.62,0
14210,4.52,4989.95,82.13,465,0.711,430.81,72.6,0
14215,5.76,5281.93,82.92,470,0.779,456.33,72.65,0
14220,4.85,5011.65,82.19,475,0.694,424.33,72.58,0
14225,5.0,5007.12,82.17,480,0.698,430.06,72.6,0
14230,4.67,5109.57,82.57,485,0.684,434.19,72.56,0
14235,4.92,4896.25,81.86,490,0.655,408.15,72.58,0
14240,5.31,5295.39,83.12,495,0.795,453.28,72.53,0
14245,4.94,5359.52,83.42,500,0.761,468.64,72.59,0
14250,5.15,4760.0,81.45,505,0.611,400.47,72.65,0
14255,4.96,5278.53,83.17,510,0.787,449.78,72.62,0
14260,5.04,5091.29,82.56,515,0.721,432.29,72.58,0
14265,5.11,4933.92,82.05,520,0.707,419.03,72.56,0
14270,5.42,5189.08,82.86,525,0.751,438.35,72.52,0
14275,4.69,5479.19,83.98,530,0.84,485.13,72.69,0
14280,4.6,5190.71,83.02,535,0.727,441.28,72.52,0
14285,4.78,4953.03,82.23,540,0.702,421.6,72.61,0
14290,4.94,5043.43,82.52,545,0.708,429.57,72.7,0
14295,5.21,4598.25,79.31,0,0.443,398.64,72.55,1
14300,4.47,4132.08,78.29,5,0.35,348.43,72.33,0
14305,5.14,5075.17,80.66,10,0.539,435.25,72.61,0
14310,5.31,5114.45,80.77,15,0.535,424.31,72.62,0
14315,4.83,4910.03,80.26,20,0.489,414.57,72.68,0
14320,4.87,4680.67,79.63,25,0.466,400.04,72.55,0
14325,4.86,4336.76,78.92,30,0.398,370.71,72.61,0
14330,5.25,4961.96,80.41,35,0.502,411.11,72.65,0
14335,5.08,4993.23,80.53,40,0.504,419.57,72.57,0
14340,4.89,4657.45,79.63,45,0.443,395.24,72.65,0
14345,5.56,4284.0,78.84,50,0.409,362.73,72.53,0
14350,5.23,4839.68,80.13,55,0.483,406.23,72.59,0
14355,4.73,5132.92,81.05,60,0.604,427.25,72.56,0
14360,5.17,4925.2,80.41,65,0.517,410.9,72.51,0
14365,4.95,4706.86,79.84,70,0.471,393.59,72.6,0
14370,4.74,5268.44,81.52,75,0.623,446.68,72.7,0
14375,4.74,5107.66,81.05,80,0.604,430.09,72.61,0
14380,5.46,4940.79,80.49,85,0.506,414.17,72.62,0
14385,4.93,5126.5,81.11,90,0.554,428.93,72.66,0
14390,4.92,4626.75,79.7,95,0.516,386.54,72.57,0
14395,5.26,4655.61,79.46,100,0.483,387.4,72.34,0
14400,5.42,4765.18,80.06,105,0.481,398.28,72.56,0
14405,5.28,5323.53,81.74,110,0.645,456.56,72.54,0
14410,4.95,4666.32,79.87,115,0.496,394.95,72.58,0
14415,5.37,4953.57,80.65,120,0.544,422.99,72.58,0
14420,4.99,5102.63,81.15,125,0.6,434.88,72.69,0
14425,5.09,4872.86,80.48,130,0.546,411.41,72.61,0
14430,5.15,4606.04,79.74,135,0.504,396.6,72.64,0
14435,5.08,5196.29,81.48,140,0.596,436.28,72.53,0
14440,4.99,4822.18,80.4,145,0.527,409.53,72.62,0
14445,4.58,4868.55,80.6,150,0.547,410.09,72.65,0
14450,4.43,4722.72,80.21,155,0.51,394.92,72.59,0
14455,4.62,4614.0,79.7,160,0.502,385.6,72.35,0
14460,5.2,4998.84,80.95,165,0.58,416.87,72.69,0
14465,4.61,4510.05,79.64,170,0.464,379.35,72.48,0
14470,5.15,4845.69,80.54,175,0.528,408.03,72.55,0
14475,5.31,4444.33,79.48,180,0.454,382.09,72.55,0
14480,4.5,4772.96,80.44,185,0.506,408.99,72.58,0
14485,5.13,3951.72,78.49,190,0.381,334.96,72.38,0
14490,4.96,4595.8,79.92,195,0.496,388.71,72.59,0
14495,5.09,4736.11,80.32,200,0.535,397.18,72.64,0
14500,5.47,4784.73,80.43,205,0.556,404.27,72.68,0
14505,5.08,4472.39,79.38,210,0.452,374.88,72.38,0
14510,5.06,5415.08,82.43,215,0.682,474.21,72.58,0
14515,5.31,5414.33,82.41,220,0.74,467.11,72.61,0
14520,4.59,4865.37,80.84,225,0.561,404.07,72.65,0
14525,5.08,4789.47,80.57,230,0.598,412.2,72.49,0
14530,4.92,4336.72,79.77,235,0.478,368.26,72.92,0
14535,4.32,4749.11,80.58,240,0.561,404.55,72.56,0
14540,4.63,4826.62,80.48,245,0.567,418.1,72.39,0
14545,5.53,5001.61,81.21,250,0.621,416.33,72.7,0
14550,5.12,5067.66,81.48,255,0.64,417.98,72.63,0
14555,5.1,4987.17,81.25,260,0.571,410.81,72.63,0
14560,4.71,4881.93,81.0,265,0.623,411.59,72.63,0
14565,4.7,4799.26,80.77,270,0.586,409.96,72.64,0
14570,4.88,4982.25,81.32,275,0.587,420.02,72.54,0
14575,5.02,5100.05,81.68,280,0.63,426.28,72.64,0
14580,5.08,5132.16,81.78,285,0.653,427.46,72.56,0
14585,4.72,4415.42,79.83,290,0.484,376.5,72.59,0
14590,4.72,5201.88,82.09,295,0.692,447.87,72.65,0
14595,5.18,4827.63,80.9,300,0.603,422.49,72.61,0
14600,5.17,4927.51,81.21,305,0.627,408.3,72.51,0
14605,5.04,4519.93,80.05,310,0.519,385.63,72.62,0
14610,4.79,5270.15,82.37,315,0.722,445.89,72.57,0
14615,5.09,5278.81,82.37,320,0.743,441.55,72.65,0
14620,4.83,4973.56,81.46,325,0.646,415.65,72.59,0
14625,5.47,4258.3,79.47,330,0.437,353.17,72.4,0
14630,4.47,4867.75,81.22,335,0.602,417.17,72.57,0
14635,4.9,5124.95,81.98,340,0.675,432.85,72.5,0
14640,4.99,4591.38,80.53,345,0.569,384.99,72.75,0
14645,5.3,5448.3,83.0,350,0.762,480.25,72.52,0
14650,4.48,5261.1,82.53,355,0.754,456.01,72.65,0
14655,5.19,4653.66,80.52,360,0.544,404.48,72.63,0
14660,5.34,5239.07,82.37,365,0.668,436.32,72.6,0
14665,4.78,5249.96,82.5,370,0.744,449.59,72.52,0
14670,5.06,4754.69,80.93,375,0.604,398.2,72.55,0
14675,5.13,5027.48,81.78,380,0.7,420.76,72.63,0
14680,4.91,5254.19,82.54,385,0.723,440.86,72.58,0
14685,5.09,4567.47,80.42,390,0.584,384.97,72.61,0
14690,5.01,4403.48,80.09,395,0.494,370.76,72.68,0
14695,4.37,4644.07,80.55,400,0.568,394.34,72.37,0
14700,5.24,5239.68,82.52,405,0.763,446.37,72.63,0
14705,4.93,5239.87,82.59,410,0.72,447.85,72.56,0
14710,4.53,4868.18,81.48,415,0.662,409.2,72.59,0
14715,4.6,4762.65,81.16,420,0.607,400.08,72.66,0
14720,5.04,5304.67,82.83,425,0.785,450.04,72.63,0
14725,5.35,4839.87,81.33,430,0.651,397.84,72.62,0
14730,4.96,4957.7,81.76,435,0.667,412.52,72.62,0
14735,4.52,4560.86,80.69,440,0.574,388.63,72.53,0
14740,4.99,4916.8,81.67,445,0.647,425.04,72.67,0
14745,5.15,5039.02,82.05,450,0.71,423.9,72.7,0
14750,5.31,4697.79,80.99,455,0.569,399.08,72.62,0
14755,4.64,4822.77,81.48,460,0.655,412.5,72.63,0
14760,5.54,4637.05,80.88,465,0.589,388.76,72.69,0
14765,5.07,4933.98,81.8,470,0.692,411.15,72.63,0
14770,4.9,4668.04,81.02,475,0.6,396.22,72.6,0
14775,4.63,5417.16,83.48,480,0.798,475.91,72.54,0
14780,4.49,5152.06,82.63,485,0.728,428.33,72.59,0
14785,4.88,4907.86,81.81,490,0.655,423.55,72.66,0
14790,4.69,4751.88,81.36,495,0.62,402.84,72.48,0
14795,4.49,4645.8,81.08,500,0.57,394.18,72.6,0
14800,4.6,5175.58,82.76,505,0.742,438.05,72.59,0
14805,5.24,4917.24,81.86,510,0.676,407.72,72.62,0
14810,4.98,4721.9,81.3,515,0.67,402.44,72.53,0
14815,5.24,4904.24,81.85,520,0.686,408.07,72.66,0
14820,5.02,4878.02,81.81,525,0.636,414.25,72.59,0
14825,5.53,5350.4,83.3,530,0.807,455.74,72.59,0
14830,5.44,5472.35,83.74,535,0.868,481.16,72.7,0
14835,4.76,4006.01,80.44,540,0.488,335.77,73.23,0
14840,5.15,5115.93,82.63,545,0.743,428.41,72.7,0
14845,5.08,4705.01,79.85,0,0.454,408.73,72.57,1
14850,5.79,4930.05,80.42,5,0.521,419.27,72.6,0
14855,5.08,5050.22,80.87,10,0.551,442.91,72.61,0
14860,4.71,4759.65,80.08,15,0.454,419.21,72.58,0
14865,5.01,5293.68,81.65,20,0.576,471.49,72.62,0
14870,5.0,3813.01,78.32,25,0.295,336.16,72.57,0
14875,5.04,4992.64,80.77,30,0.549,436.85,72.56,0
14880,4.75,4975.11,80.77,35,0.538,433.55,72.6,0
14885,5.0,5318.64,81.81,40,0.575,479.49,72.67,0
14890,4.93,5237.44,81.58,45,0.618,456.36,72.55,0
14895,4.83,4822.22,80.36,50,0.498,415.55,72.58,0
14900,5.06,4963.13,80.77,55,0.549,440.11,72.6,0
14905,5.53,4812.37,80.28,60,0.502,410.78,72.67,0
14910,4.76,5090.59,81.22,65,0.607,440.23,72.67,0
14915,4.74,5231.99,81.68,70,0.651,472.52,72.49,0
14920,4.66,5489.52,82.53,75,0.632,504.54,72.62,0
14925,4.55,5461.61,82.47,80,0.635,492.47,72.54,0
14930,4.56,4995.58,81.02,85,0.55,449.32,72.61,0
14935,4.83,5251.46,81.79,90,0.625,462.4,72.53,0
14940,5.6,5424.03,82.25,95,0.67,488.25,72.52,0
14945,5.59,4774.4,80.29,100,0.539,419.35,72.71,0
14950,5.48,4975.12,80.91,105,0.537,433.86,72.6,0
14955,4.39,4484.27,79.65,110,0.454,399.78,72.59,0
14960,5.33,4554.9,79.75,115,0.45,397.66,72.58,0
14965,5.37,5114.97,81.41,120,0.607,431.08,72.57,0
14970,5.4,4985.59,81.02,125,0.589,422.06,72.57,0
14975,5.08,5479.02,82.64,130,0.711,495.84,72.61,0
14980,5.03,5015.16,81.19,135,0.583,444.38,72.68,0
14985,4.92,5113.38,81.53,140,0.619,445.03,72.6,0
14990,5.2,4670.89,80.18,145,0.51,408.76,72.63,0
14995,4.95,4848.43,80.75,150,0.57,411.21,72.55,0
15000,5.16,4973.17,81.12,155,0.577,435.07,72.64,0
15005,5.12,4984.96,81.18,160,0.565,438.71,72.62,0
15010,5.8,5466.7,82.62,165,0.667,490.51,72.55,0
15015,5.31,4457.73,79.7,170,0.447,382.35,72.69,0
15020,5.38,4921.86,81.0,175,0.615,426.81,72.68,0
15025,5.02,4715.57,80.45,180,0.533,412.37,72.61,0
15030,5.28,4362.5,79.59,185,0.438,382.49,72.55,0
15035,5.31,4863.21,80.89,190,0.547,426.53,72.6,0
15040,4.89,5473.82,82.89,195,0.708,504.97,72.54,0
15045,4.65,5300.37,82.38,200,0.671,480.41,72.59,0
15050,4.79,5133.14,81.84,205,0.616,442.89,72.57,0
15055,4.98,4799.96,80.8,210,0.555,413.53,72.63,0
15060,5.27,4783.82,80.73,215,0.54,416.15,72.61,0
15065,4.69,4882.55,81.12,220,0.612,424.61,72.65,0
15070,5.18,4215.05,79.7,225,0.426,361.56,72.84,0
15075,4.81,4895.67,81.18,230,0.601,435.24,72.64,0
15080,4.62,4860.35,81.12,235,0.552,423.76,72.48,0
15085,5.34,4838.41,80.98,240,0.582,416.15,72.65,0
15090,5.36,5350.98,82.61,245,0.686,475.91,72.54,0
15095,5.09,5104.79,81.87,250,0.637,440.6,72.59,0
15100,5.12,4672.56,80.56,255,0.519,405.93,72.56,0
15105,4.71,4775.88,80.93,260,0.577,419.91,72.56,0
15110,4.93,5148.32,82.09,265,0.628,452.45,72.62,0
15115,5.68,4988.8,81.5,270,0.601,428.23,72.64,0
15120,4.9,4089.07,79.68,275,0.413,364.18,72.78,0
15125,5.04,4582.34,80.39,280,0.534,396.92,72.59,0
15130,5.84,5100.89,81.89,285,0.669,434.23,72.59,0
15135,5.35,5026.82,81.74,290,0.622,432.51,72.55,0
15140,5.1,4836.27,81.19,295,0.558,411.92,72.61,0
15145,5.03,4256.29,79.5,300,0.462,359.7,72.33,0
15150,5.16,4296.46,80.28,305,0.469,380.67,72.92,0
15155,5.23,5494.26,83.36,310,0.772,505.01,72.64,0
15160,5.05,4557.13,80.42,315,0.514,395.67,72.57,0
15165,4.98,5187.3,82.41,320,0.68,457.1,72.71,0
15170,5.09,5355.81,82.97,325,0.724,483.34,72.7,0
15175,5.07,5159.99,82.35,330,0.67,441.55,72.62,0
15180,4.73,4760.71,81.14,335,0.608,410.33,72.59,0
15185,5.06,4620.14,80.69,340,0.529,397.35,72.55,0
15190,5.03,4613.34,80.69,345,0.536,395.35,72.59,0
15195,5.12,5005.37,81.91,350,0.627,431.72,72.62,0
15200,5.53,4532.88,80.43,355,0.556,395.68,72.54,0
15205,5.14,5385.7,83.2,360,0.739,483.67,72.61,0
15210,4.85,4982.67,81.93,365,0.661,428.31,72.69,0
15215,5.26,5006.5,81.97,370,0.647,444.62,72.59,0
15220,4.52,4925.69,81.83,375,0.616,431.89,72.54,0
15225,5.09,4889.27,81.66,380,0.635,422.46,72.63,0
15230,4.74,5262.55,82.95,385,0.761,460.52,72.62,0
15235,4.92,4949.87,81.91,390,0.619,426.47,72.56,0
15240,5.01,4439.07,80.18,395,0.51,385.29,72.37,0
15245,4.63,5344.28,83.3,400,0.754,483.36,72.59,0
15250,5.14,4331.25,80.15,405,0.485,378.4,72.55,0
