T_in_leche,F_flow,T_servicio,t_ciclo,Delta_P,E_consumo,T_out_leche
6.78,4654.81,79.9,115.0,0.505,400.62,72.49
7.28,5427.03,82.37,120.0,0.678,488.34,72.59
7.05,4847.68,80.63,125.0,0.553,424.29,72.58
7.24,4955.42,80.94,130.0,0.55,425.76,72.49
6.62,4389.92,79.53,135.0,0.436,389.34,72.67
6.83,4724.13,80.34,140.0,0.555,407.01,72.65
7.3,5029.41,81.21,145.0,0.571,432.61,72.63
6.91,5312.11,82.16,150.0,0.625,471.85,72.49
6.6,4517.28,79.82,155.0,0.487,384.02,72.58
6.3,5064.33,81.5,160.0,0.583,449.37,72.55
7.0,4763.17,80.52,165.0,0.535,414.28,72.6
6.75,5250.88,82.06,170.0,0.603,467.39,72.58
6.95,5246.52,82.04,175.0,0.661,454.41,72.64
6.85,5188.4,81.89,180.0,0.636,452.81,72.61
6.81,5492.75,82.9,185.0,0.702,506.97,72.46
7.33,4874.18,80.89,190.0,0.546,424.63,72.57
6.96,4279.26,79.5,195.0,0.428,372.08,72.63
7.36,4935.99,81.11,200.0,0.558,419.89,72.65
6.53,4843.98,80.95,205.0,0.531,415.52,72.53
7.26,5349.08,82.46,210.0,0.683,469.77,72.61
7.39,5368.87,82.52,215.0,0.719,473.64,72.66
6.53,4854.63,81.04,220.0,0.578,425.8,72.68
6.94,5051.33,81.61,225.0,0.612,433.49,72.5
7.11,5137.82,81.87,230.0,0.668,439.77,72.64
7.02,4995.37,81.45,235.0,0.593,436.53,72.62
7.23,4922.95,81.22,240.0,0.609,426.42,72.61
7.18,4578.5,80.22,245.0,0.494,396.84,72.61
6.98,5018.17,81.58,250.0,0.617,429.79,72.63
7.57,5468.93,82.97,255.0,0.742,496.33,72.56
7.35,5291.22,82.44,260.0,0.676,469.64,72.57
6.65,4934.37,81.42,265.0,0.597,429.08,72.61
6.9,5259.77,82.44,270.0,0.661,462.26,72.63
7.59,4433.02,79.93,275.0,0.468,379.09,72.63
7.19,5050.78,81.76,280.0,0.664,428.62,72.59
7.48,5357.38,82.73,285.0,0.69,477.01,72.71
6.96,4568.22,80.36,290.0,0.519,391.13,72.58
6.53,4839.97,81.25,295.0,0.601,422.46,72.68
6.59,4667.54,80.73,300.0,0.551,403.65,72.61
6.67,4393.77,80.07,305.0,0.445,389.21,72.66
6.78,5299.99,82.75,310.0,0.709,469.7,72.6
7.21,5354.46,82.88,315.0,0.718,466.76,72.63
7.71,4871.2,81.28,320.0,0.602,425.05,72.62
7.46,4912.26,81.46,325.0,0.618,422.72,72.66
7.21,5214.64,82.47,330.0,0.693,452.16,72.59
7.01,5062.49,82.03,335.0,0.65,432.99,72.57
7.19,5123.79,82.21,340.0,0.712,448.01,72.54
6.86,5433.39,83.31,345.0,0.758,500.33,72.64
6.95,4797.82,81.25,350.0,0.591,417.43,72.63
6.95,5254.38,82.73,355.0,0.747,461.24,72.6
6.8,4498.35,80.4,360.0,0.538,390.66,72.69
7.38,4994.95,81.87,365.0,0.677,420.33,72.59
6.62,4711.52,81.1,370.0,0.623,406.66,72.64
6.82,5397.46,83.32,375.0,0.751,479.27,72.58
7.06,4445.65,80.12,380.0,0.516,397.02,72.54
6.87,4417.49,80.4,385.0,0.548,383.74,72.75
6.77,5084.23,82.34,390.0,0.714,435.24,72.6
6.32,5275.55,83.06,395.0,0.765,470.4,72.66
6.39,4710.69,81.23,400.0,0.594,410.39,72.59
6.91,5059.43,82.29,405.0,0.669,437.17,72.64
7.32,4889.92,81.7,410.0,0.668,422.75,72.6
6.38,4749.06,81.4,415.0,0.594,419.44,72.54
7.1,4780.64,81.42,420.0,0.621,416.84,72.64
6.89,5226.15,82.92,425.0,0.749,466.27,72.56
7.2,4803.05,81.52,430.0,0.602,422.2,72.62
6.5,4624.52,81.07,435.0,0.575,404.0,72.6
7.13,4436.22,80.52,440.0,0.54,385.67,72.55
7.38,4861.98,81.73,445.0,0.63,419.71,72.57
6.47,4824.3,81.75,450.0,0.644,426.52,72.52
6.97,4891.94,81.92,455.0,0.629,420.51,72.73
7.27,4798.01,81.6,460.0,0.63,412.68,72.6
6.75,5074.27,82.59,465.0,0.752,437.77,72.59
7.1,4157.25,80.12,470.0,0.474,362.81,72.54
7.23,4926.61,82.07,475.0,0.664,431.12,72.63
6.86,4771.12,81.64,480.0,0.636,405.66,72.58
7.19,5251.71,83.19,485.0,0.767,471.06,72.56
7.1,4907.16,82.08,490.0,0.668,417.89,72.66
7.3,5036.79,82.49,495.0,0.738,438.22,72.6
7.34,5175.62,82.97,500.0,0.727,444.07,72.52
6.76,5338.33,83.64,505.0,0.811,482.23,72.69
6.5,4489.02,80.92,510.0,0.612,394.16,72.61
7.37,4453.27,80.76,515.0,0.533,387.52,72.64
6.49,4871.99,82.16,520.0,0.655,422.84,72.65
6.99,5411.64,83.93,525.0,0.843,494.44,72.66
7.01,4626.91,81.33,530.0,0.594,398.11,72.61
6.84,5258.15,83.46,535.0,0.823,465.53,72.61
7.03,5097.41,82.9,540.0,0.713,440.79,72.55
6.98,4937.7,82.39,545.0,0.699,417.84,72.57
7.12,5037.82,80.45,5.0,0.525,417.25,72.56
6.85,4808.84,79.85,10.0,0.483,405.53,72.66
6.92,4702.61,79.57,15.0,0.459,397.04,72.51
6.95,4811.55,79.88,20.0,0.467,405.31,72.62
7.57,5140.24,80.75,25.0,0.574,418.59,72.52
7.12,5084.93,80.66,30.0,0.591,414.56,72.62
6.4,5057.21,80.69,35.0,0.558,427.89,72.57
6.98,5129.35,80.84,40.0,0.593,427.06,72.59
6.55,5016.85,80.59,45.0,0.579,423.58,72.57
7.22,4933.23,80.28,50.0,0.532,412.19,72.49
7.07,4905.91,80.24,55.0,0.503,402.35,72.59
6.95,5106.17,80.84,60.0,0.594,425.46,72.7
7.76,3962.28,78.2,65.0,0.349,329.32,72.47
7.12,4750.06,79.85,70.0,0.492,399.12,72.62
7.42,5452.97,81.87,75.0,0.682,463.17,72.54
7.64,5210.48,81.13,80.0,0.59,428.68,72.58
7.44,5186.79,81.1,85.0,0.582,430.58,72.53
7.02,5214.17,81.26,90.0,0.624,433.29,72.57
6.99,4881.02,80.31,95.0,0.542,403.69,72.55
7.32,5065.77,80.81,100.0,0.567,426.73,72.65
6.68,4959.13,80.6,105.0,0.547,418.21,72.67
7.02,5493.11,82.18,110.0,0.674,485.64,72.54
6.86,3762.42,78.7,115.0,0.322,319.86,73.04
7.01,5298.43,81.62,120.0,0.6,443.13,72.71
7.54,5386.65,81.83,125.0,0.662,458.23,72.58
7.8,5074.03,80.88,130.0,0.544,418.3,72.66
7.24,5440.83,82.07,135.0,0.636,468.37,72.59
7.7,4985.71,80.66,140.0,0.544,403.56,72.56
7.23,4435.47,79.29,145.0,0.418,367.91,72.64
7.04,4363.1,79.21,150.0,0.419,365.47,72.56
6.91,5424.39,82.14,155.0,0.692,478.63,72.59
6.98,5419.73,82.13,160.0,0.679,470.08,72.54
7.09,5285.65,81.72,165.0,0.625,445.11,72.58
7.4,5185.5,81.39,170.0,0.645,429.77,72.62
6.97,4615.45,79.56,175.0,0.483,382.09,72.29
7.6,4951.7,80.71,180.0,0.59,405.19,72.56
6.95,5156.51,81.41,185.0,0.606,426.66,72.62
7.18,4610.88,79.82,190.0,0.545,383.69,72.58
6.94,4848.28,80.54,195.0,0.535,407.34,72.6
7.03,5153.49,81.44,200.0,0.599,431.53,72.56
7.07,4835.94,80.52,205.0,0.535,411.4,72.63
6.98,5012.43,81.06,210.0,0.599,416.64,72.62
7.1,4742.68,80.28,215.0,0.543,388.44,72.66
7.01,4877.88,80.7,220.0,0.558,401.96,72.62
7.16,5065.75,81.25,225.0,0.627,423.07,72.57
6.89,5022.61,81.17,230.0,0.606,425.51,72.61
7.04,5402.59,82.34,235.0,0.716,451.05,72.6
6.85,5006.3,81.16,240.0,0.608,419.59,72.62
6.75,5428.29,82.49,245.0,0.685,476.89,72.55
7.35,5107.7,81.43,250.0,0.631,418.5,72.6
7.38,5171.64,81.64,255.0,0.653,427.16,72.68
7.0,4479.51,79.92,260.0,0.558,371.97,72.87
6.97,5131.67,81.61,265.0,0.632,437.09,72.56
6.78,5396.46,82.48,270.0,0.744,467.75,72.65
7.0,5137.62,81.66,275.0,0.665,432.84,72.62
6.99,5262.51,82.06,280.0,0.695,449.49,72.67
6.71,4609.19,80.16,285.0,0.521,385.6,72.63
6.68,5134.06,81.74,290.0,0.655,433.26,72.64
7.17,4725.16,80.47,295.0,0.542,396.41,72.61
6.81,4985.23,81.3,300.0,0.619,409.18,72.56
7.07,4612.32,80.19,305.0,0.533,376.12,72.61
7.19,4816.52,80.78,310.0,0.549,399.13,72.58
7.04,4315.98,79.61,315.0,0.492,366.36,72.66
7.19,5206.24,81.99,320.0,0.694,439.53,72.61
7.08,5311.97,82.36,325.0,0.687,454.72,72.63
7.07,4934.58,81.21,330.0,0.619,409.66,72.65
6.28,4797.95,80.92,335.0,0.588,396.98,72.53
7.08,5062.14,81.63,340.0,0.657,425.71,72.59
7.18,4804.17,80.86,345.0,0.603,401.95,72.57
6.37,5237.73,82.32,350.0,0.698,449.45,72.67
6.98,5465.89,82.98,355.0,0.778,473.94,72.64
7.4,4934.78,81.26,360.0,0.613,417.82,72.6
7.22,5118.06,81.87,365.0,0.657,426.91,72.57
6.65,5218.91,82.28,370.0,0.701,439.76,72.62
6.67,4746.59,80.84,375.0,0.58,393.29,72.63
7.44,5414.18,82.83,380.0,0.79,466.65,72.66
7.12,4640.39,80.51,385.0,0.548,381.78,72.67
6.73,5387.83,82.89,390.0,0.756,469.24,72.55
7.39,4903.48,81.28,395.0,0.663,407.85,72.65
7.0,4846.97,81.18,400.0,0.593,411.6,72.67
6.57,4911.68,81.45,405.0,0.623,416.77,72.67
7.03,4747.55,80.91,410.0,0.596,392.16,72.6
7.12,4691.13,80.75,415.0,0.624,393.28,72.69
7.54,5418.04,82.97,420.0,0.822,465.6,72.63
6.77,4668.27,80.76,425.0,0.596,391.22,72.59
7.41,5067.46,81.91,430.0,0.707,428.61,72.61
7.05,5115.87,82.13,435.0,0.667,423.73,72.62
6.68,4783.35,81.17,440.0,0.636,401.34,72.55
6.98,4247.43,79.87,445.0,0.466,355.27,72.56
6.85,4821.99,81.3,450.0,0.65,407.36,72.52
6.54,5322.64,82.95,455.0,0.794,450.28,72.56
6.89,5079.8,82.13,460.0,0.678,417.53,72.55
7.01,4743.51,81.09,465.0,0.645,398.5,72.64
6.72,4608.15,80.73,470.0,0.598,388.83,72.62
7.52,5365.9,83.01,475.0,0.798,448.11,72.61
6.32,5331.26,83.1,480.0,0.772,472.48,72.53
7.23,5281.25,82.81,485.0,0.794,444.83,72.67
6.69,4750.18,81.23,490.0,0.611,390.43,72.62
7.2,4728.68,81.12,495.0,0.62,388.21,72.58
6.85,5046.52,82.17,500.0,0.722,419.32,72.62
7.14,4786.61,81.33,505.0,0.624,403.4,72.64
7.12,5087.3,82.29,510.0,0.716,415.04,72.59
6.93,5217.26,82.76,515.0,0.751,435.97,72.53
6.94,4499.92,80.34,520.0,0.582,373.13,72.4
6.29,4709.29,81.11,525.0,0.6,396.38,72.51
7.17,4985.22,82.03,530.0,0.71,415.38,72.6
7.22,5485.94,83.68,535.0,0.85,469.62,72.58
6.65,4584.33,80.9,540.0,0.584,381.4,72.61
6.94,5253.95,82.99,545.0,0.78,443.02,72.61
6.9,5400.27,81.67,5.0,0.635,472.5,72.57
7.13,5186.6,81.01,10.0,0.544,445.15,72.54
6.67,5188.16,81.09,15.0,0.55,443.14,72.54
7.48,5322.47,81.41,20.0,0.594,460.71,72.59
7.27,4741.02,79.77,25.0,0.453,400.9,72.62
6.88,4864.35,80.18,30.0,0.532,410.41,72.59
6.95,4442.08,79.1,35.0,0.411,374.36,72.68
6.39,4889.52,80.34,40.0,0.525,415.38,72.67
6.29,5479.82,82.15,45.0,0.647,492.16,72.63
6.68,5069.9,80.86,50.0,0.559,435.21,72.59
7.3,4868.77,80.22,55.0,0.497,414.98,72.6
6.71,4281.87,78.96,60.0,0.427,357.5,72.65
7.02,4251.01,78.9,65.0,0.385,354.56,72.57
7.96,4988.84,80.54,70.0,0.568,413.1,72.52
7.12,4514.65,79.33,75.0,0.46,379.16,72.62
6.86,5096.41,81.02,80.0,0.575,423.13,72.68
7.5,4837.68,80.21,85.0,0.528,411.45,72.61
6.98,4573.05,79.55,90.0,0.445,384.36,72.67
6.85,5147.73,81.23,95.0,0.583,439.34,72.57
7.17,5342.22,81.79,100.0,0.628,454.58,72.64
6.95,4894.22,80.5,105.0,0.589,412.19,72.62
6.82,4937.0,80.66,110.0,0.535,418.05,72.52
6.85,4585.08,79.67,115.0,0.476,385.74,72.66
6.82,5238.77,81.59,120.0,0.622,439.0,72.64
7.42,4955.45,80.68,125.0,0.528,415.58,72.53
7.04,4990.75,80.85,130.0,0.544,422.32,72.74
6.64,4690.69,80.05,135.0,0.516,398.72,72.6
6.97,5316.38,81.88,140.0,0.608,452.54,72.55
7.22,4233.81,79.08,145.0,0.394,353.25,72.56
7.19,5295.05,81.82,150.0,0.653,457.33,72.62
7.45,4421.9,79.37,155.0,0.437,374.15,72.63
7.07,4704.9,80.12,160.0,0.51,405.53,72.57
7.15,4964.44,80.87,165.0,0.59,430.78,72.59
7.26,4937.99,80.8,170.0,0.571,415.73,72.63
6.82,4294.41,79.03,175.0,0.441,362.01,72.36
7.15,5210.57,81.67,180.0,0.643,431.03,72.63
7.04,5028.18,81.15,185.0,0.595,428.56,72.61
6.87,5278.54,81.95,190.0,0.665,455.53,72.61
6.64,4542.87,79.82,195.0,0.476,382.79,72.55
6.97,5172.35,81.65,200.0,0.675,436.96,72.54
7.52,5341.44,82.11,205.0,0.707,458.32,72.56
7.12,4399.56,79.53,210.0,0.465,378.82,72.61
6.99,4804.73,80.59,215.0,0.59,403.07,72.63
7.25,5033.36,81.25,220.0,0.63,421.68,72.64
6.55,5342.34,82.33,225.0,0.668,463.49,72.62
6.51,5306.25,82.24,230.0,0.694,449.21,72.49
7.27,4626.5,80.11,235.0,0.547,385.28,72.53
6.68,4720.87,80.46,240.0,0.519,407.16,72.64
6.96,4831.24,80.77,245.0,0.602,409.15,72.65
6.28,4927.31,81.15,250.0,0.589,421.45,72.65
7.15,4669.07,80.3,255.0,0.516,392.39,72.61
7.15,5072.15,81.51,260.0,0.674,426.76,72.53
6.8,4942.61,81.18,265.0,0.581,420.02,72.7
7.04,4739.18,80.56,270.0,0.562,395.63,72.59
7.27,4938.24,81.14,275.0,0.596,403.75,72.56
7.01,4933.67,81.18,280.0,0.612,414.48,72.62
6.77,5428.38,82.79,285.0,0.722,474.61,72.59
6.89,4795.18,80.81,290.0,0.585,408.09,72.62
6.89,4876.92,81.07,295.0,0.582,407.88,72.65
6.38,4763.58,80.81,300.0,0.578,401.34,72.48
6.66,5188.48,82.1,305.0,0.695,438.68,72.62
6.91,4605.1,80.18,310.0,0.541,387.59,72.48
7.02,4832.31,80.98,315.0,0.584,413.63,72.52
7.34,4904.04,81.18,320.0,0.609,417.47,72.66
7.1,5168.09,82.04,325.0,0.673,431.66,72.7
6.9,4851.41,81.11,330.0,0.595,409.16,72.53
6.22,5418.76,83.02,335.0,0.764,489.09,72.6
7.07,5020.12,81.63,340.0,0.64,424.32,72.59
7.17,4521.85,80.15,345.0,0.557,384.47,72.63
6.98,4493.67,80.12,350.0,0.516,382.94,72.63
7.22,5160.47,82.1,355.0,0.706,431.34,72.65
7.24,5253.11,82.41,360.0,0.709,441.46,72.51
6.96,4638.56,80.58,365.0,0.562,397.66,72.69
6.38,4328.39,79.96,370.0,0.503,362.66,72.63
6.33,5434.36,83.21,375.0,0.816,482.85,72.53
6.88,5260.27,82.57,380.0,0.725,454.27,72.63
6.7,5119.41,82.15,385.0,0.722,437.11,72.59
7.48,5289.22,82.6,390.0,0.752,452.4,72.64
7.23,4885.23,81.38,395.0,0.622,411.09,72.63
6.57,4674.17,80.84,400.0,0.615,400.21,72.55
6.92,5070.57,82.04,405.0,0.677,433.37,72.48
6.86,5156.73,82.34,410.0,0.708,433.09,72.65
6.48,4852.27,81.45,415.0,0.677,411.62,72.55
7.07,4433.37,80.22,420.0,0.499,375.09,72.6
7.09,4525.04,80.29,425.0,0.527,386.31,72.52
6.86,5247.98,82.71,430.0,0.745,455.51,72.56
7.38,4903.8,81.56,435.0,0.623,411.71,72.54
6.61,4527.67,80.76,440.0,0.56,380.95,72.86
7.0,4952.71,81.8,445.0,0.677,420.81,72.69
7.04,4886.07,81.6,450.0,0.616,419.43,72.61
7.92,4812.0,81.27,455.0,0.635,407.02,72.55
7.2,5365.97,83.16,460.0,0.779,458.03,72.61
6.85,4468.77,80.45,465.0,0.547,385.44,72.59
6.73,5276.49,82.98,470.0,0.776,451.82,72.6
7.06,4131.68,80.16,475.0,0.472,348.19,72.92
7.4,4284.7,80.11,480.0,0.475,361.08,72.6
7.03,4456.71,80.47,485.0,0.508,375.47,72.58
7.01,5239.86,82.89,490.0,0.734,449.97,72.63
7.15,5225.58,82.83,495.0,0.717,440.79,72.5
7.7,4796.74,81.4,500.0,0.643,391.08,72.56
7.72,4173.43,79.95,505.0,0.474,351.42,72.58
7.09,5075.22,82.41,510.0,0.734,429.81,72.57
6.75,4823.14,81.67,515.0,0.659,419.22,72.62
7.5,4050.98,79.68,520.0,0.47,340.94,72.53
7.15,4754.31,81.44,525.0,0.605,410.9,72.64
7.06,4956.92,82.11,530.0,0.705,411.57,72.56
7.01,4286.18,80.08,535.0,0.509,363.5,72.34
6.82,4645.96,81.03,540.0,0.626,398.41,72.4
7.06,5153.82,82.8,545.0,0.799,430.28,72.6
6.72,5023.77,80.75,5.0,0.528,435.62,72.63
6.57,5053.55,80.87,10.0,0.533,438.78,72.58
7.01,5012.19,80.71,15.0,0.526,425.14,72.55
7.59,4845.51,80.18,20.0,0.474,419.93,72.66
7.32,4559.63,79.43,25.0,0.436,386.25,72.58
7.17,4942.93,80.54,30.0,0.526,422.44,72.64
7.05,4587.99,79.57,35.0,0.454,397.2,72.6
6.76,5255.15,81.57,40.0,0.592,473.62,72.59
7.22,4968.99,80.66,45.0,0.518,426.95,72.54
6.48,4329.61,79.17,50.0,0.433,368.47,72.63
6.46,5047.03,81.03,55.0,0.543,438.98,72.6
6.68,4351.57,79.22,60.0,0.394,384.08,72.47
6.65,5341.61,81.95,65.0,0.672,478.25,72.59
6.83,4647.9,79.87,70.0,0.49,402.64,72.65
7.07,5305.82,81.81,75.0,0.635,475.43,72.55
6.97,4257.61,79.1,80.0,0.407,368.36,72.49
7.01,5376.59,82.08,85.0,0.627,477.34,72.59
7.12,4720.44,80.11,90.0,0.502,411.23,72.54
6.53,4767.76,80.33,95.0,0.501,422.84,72.65
6.74,4699.77,80.12,100.0,0.481,407.56,72.65
6.8,4679.75,80.08,105.0,0.48,399.81,72.51
6.69,4757.62,80.33,110.0,0.511,415.1,72.65
7.03,4656.52,80.01,115.0,0.49,391.28,72.61
7.01,4995.01,81.02,120.0,0.574,418.28,72.56
6.95,5174.65,81.6,125.0,0.626,449.2,72.57
6.74,4112.07,79.04,130.0,0.355,348.21,72.59
6.55,5494.03,82.71,135.0,0.661,505.18,72.57
6.93,4738.79,80.34,140.0,0.519,397.35,72.52
7.24,5123.83,81.47,145.0,0.596,433.13,72.49
6.38,5470.33,82.72,150.0,0.669,496.51,72.59
6.53,4984.25,81.17,155.0,0.519,428.63,72.57
7.05,4606.99,80.01,160.0,0.513,409.32,72.61
6.72,5036.65,81.34,165.0,0.571,426.34,72.51
6.67,4280.25,79.43,170.0,0.39,365.8,72.58
7.04,5004.59,81.24,175.0,0.573,429.13,72.68
6.57,4823.44,80.77,180.0,0.507,400.8,72.67
7.3,4861.76,80.81,185.0,0.58,415.34,72.56
6.94,5154.86,81.77,190.0,0.64,446.11,72.63
6.76,4472.97,79.92,195.0,0.492,376.97,72.8
7.54,4861.44,80.83,200.0,0.565,408.28,72.64
6.62,5299.18,82.33,205.0,0.662,466.28,72.62
7.15,4565.46,80.04,210.0,0.473,394.73,72.57
6.71,4211.32,79.45,215.0,0.455,358.01,72.67
7.09,4885.84,81.03,220.0,0.563,423.15,72.66
7.1,4747.27,80.63,225.0,0.537,412.73,72.58
6.5,5059.25,81.67,230.0,0.617,435.08,72.55
7.18,5017.02,81.47,235.0,0.585,431.4,72.51
6.88,4551.81,80.13,240.0,0.539,387.09,72.55
7.26,5449.19,82.87,245.0,0.733,488.27,72.67
7.39,5007.23,81.46,250.0,0.64,434.83,72.63
7.61,4742.66,80.65,255.0,0.612,410.35,72.58
6.25,5422.62,83.0,260.0,0.723,502.45,72.63
7.13,4488.89,80.01,265.0,0.488,389.64,72.64
7.25,5433.69,82.92,270.0,0.735,489.02,72.52
6.57,4805.98,81.04,275.0,0.537,407.83,72.62
6.88,5205.23,82.26,280.0,0.638,453.0,72.61
7.03,4956.64,81.47,285.0,0.597,422.84,72.63
7.03,4991.54,81.6,290.0,0.628,433.29,72.6
6.89,4610.75,80.47,295.0,0.521,397.95,72.65
6.74,5466.26,83.22,300.0,0.774,497.68,72.6
6.66,5227.33,82.45,305.0,0.688,455.85,72.66
7.34,5056.69,81.83,310.0,0.637,425.22,72.6
7.19,4995.26,81.67,315.0,0.65,428.34,72.63
7.3,5065.71,81.89,320.0,0.651,430.7,72.58
7.16,4509.4,80.24,325.0,0.519,389.5,72.62
6.61,5431.47,83.24,330.0,0.732,490.74,72.68
7.17,4930.39,81.54,335.0,0.663,417.08,72.61
7.1,5395.96,83.07,340.0,0.735,481.12,72.54
7.6,4960.11,81.61,345.0,0.63,430.44,72.58
7.06,4327.32,80.01,350.0,0.499,366.13,72.62
6.99,5009.52,81.88,355.0,0.662,440.54,72.63
7.45,5078.38,82.05,360.0,0.694,430.3,72.58
6.71,4870.9,81.52,365.0,0.647,425.53,72.6
6.97,4858.98,81.47,370.0,0.614,418.19,72.62
7.02,4477.67,80.35,375.0,0.565,389.52,72.66
7.0,4519.4,80.93,380.0,0.5,388.99,73.07
6.46,4791.86,81.38,385.0,0.6,408.31,72.64
6.6,4547.94,80.63,390.0,0.558,395.35,72.58
7.33,4590.66,80.68,395.0,0.558,394.67,72.57
6.58,4785.22,81.39,400.0,0.59,410.17,72.53
7.08,5275.86,82.92,405.0,0.711,462.31,72.57
7.3,4328.29,80.46,410.0,0.524,380.48,72.91
7.1,4706.76,81.13,415.0,0.607,402.34,72.53
6.48,4633.52,81.0,420.0,0.537,400.76,72.53
6.99,5321.39,83.17,425.0,0.811,464.1,72.62
7.31,4754.61,81.3,430.0,0.643,399.93,72.58
7.04,4303.74,80.23,435.0,0.478,379.53,72.55
7.17,5473.37,83.72,440.0,0.818,492.68,72.57
6.47,5362.5,83.47,445.0,0.763,478.23,72.58
7.1,4885.45,81.81,450.0,0.63,419.91,72.53
6.57,4447.88,80.61,455.0,0.539,392.73,72.57
6.92,4905.56,81.94,460.0,0.643,422.84,72.64
7.2,4429.44,80.53,465.0,0.518,381.4,72.52
7.13,5449.48,83.76,470.0,0.8,492.06,72.61
7.4,5230.05,82.99,475.0,0.772,446.12,72.5
6.9,5157.6,82.84,480.0,0.748,446.11,72.63
7.06,4875.79,81.91,485.0,0.656,415.63,72.56
6.05,5093.18,82.79,490.0,0.734,441.77,72.58
6.62,4964.83,82.3,495.0,0.667,433.32,72.64
7.14,4385.83,80.58,500.0,0.531,383.34,72.57
7.56,4706.5,81.38,505.0,0.624,397.73,72.56
6.94,4986.58,82.38,510.0,0.677,422.1,72.67
7.12,4898.04,82.08,515.0,0.676,424.34,72.57
6.84,4549.73,81.04,520.0,0.602,394.02,72.69
6.53,5213.8,83.26,525.0,0.785,455.14,72.61
6.74,5027.16,82.62,530.0,0.747,436.36,72.61
6.91,5067.4,82.75,535.0,0.718,444.85,72.59
6.9,5416.46,83.97,540.0,0.838,484.69,72.61
6.89,5233.97,83.35,545.0,0.777,449.01,72.53
6.74,4633.55,79.37,5.0,0.431,385.7,72.63
7.07,5468.8,81.74,10.0,0.649,474.04,72.55
6.76,4975.2,80.34,15.0,0.524,407.28,72.71
6.78,4942.07,80.26,20.0,0.507,409.51,72.54
6.46,4829.03,80.0,25.0,0.511,404.3,72.59
6.61,4419.68,78.66,30.0,0.409,360.37,72.39
6.96,5447.15,81.77,35.0,0.65,473.86,72.51
6.28,5440.91,81.86,40.0,0.668,482.02,72.72
7.02,4890.3,80.17,45.0,0.508,401.49,72.62
7.16,5351.54,81.5,50.0,0.63,454.09,72.6
7.02,4840.56,80.06,55.0,0.509,396.05,72.61
6.66,4812.99,80.04,60.0,0.504,394.81,72.55
6.8,5295.4,81.44,65.0,0.633,445.59,72.52
7.25,4740.21,79.8,70.0,0.457,394.27,72.7
6.49,5421.61,81.9,75.0,0.641,462.58,72.6
7.01,4606.47,79.5,80.0,0.443,386.76,72.58
7.05,5026.71,80.68,85.0,0.528,417.32,72.68
7.07,4938.17,80.44,90.0,0.547,413.6,72.63
6.38,5224.54,81.38,95.0,0.573,447.1,72.54
7.17,4494.57,79.62,100.0,0.458,388.17,72.95
6.89,4531.68,79.06,105.0,0.461,381.87,72.34
7.3,4446.68,79.19,110.0,0.479,377.19,72.56
7.3,4734.74,79.92,115.0,0.514,388.19,72.62
6.68,5034.98,80.87,120.0,0.566,420.46,72.54
6.82,5122.85,81.12,125.0,0.569,420.44,72.58
7.5,4449.29,79.19,130.0,0.496,374.63,72.49
7.05,4836.2,80.3,135.0,0.537,400.12,72.49
6.86,4993.7,80.79,140.0,0.561,418.92,72.65
6.86,4886.56,80.5,145.0,0.533,409.01,72.64
7.47,5008.71,80.79,150.0,0.6,411.95,72.59
6.92,5147.76,81.29,155.0,0.625,430.19,72.68
6.92,5302.74,81.77,160.0,0.684,443.58,72.7
7.48,4768.36,80.15,165.0,0.527,393.05,72.61
6.77,5214.49,81.56,170.0,0.622,439.36,72.56
6.74,4523.42,79.59,175.0,0.483,379.11,72.55
6.73,5468.75,82.39,180.0,0.699,482.87,72.62
7.19,5232.56,81.61,185.0,0.628,440.64,72.58
7.13,4247.23,79.17,190.0,0.394,357.77,72.61
7.11,4869.14,80.57,195.0,0.563,403.28,72.61
7.04,4291.67,78.96,200.0,0.363,362.39,72.36
7.23,5229.0,81.66,205.0,0.64,429.2,72.75
6.63,4937.16,80.88,210.0,0.603,413.59,72.55
7.05,5224.17,81.7,215.0,0.652,431.76,72.57
7.0,4957.15,80.92,220.0,0.589,415.15,72.59
6.9,4451.69,79.57,225.0,0.484,370.72,72.55
6.88,5243.77,81.84,230.0,0.666,446.67,72.58
6.7,4528.24,79.78,235.0,0.511,377.07,72.57
6.54,4969.77,81.08,240.0,0.599,417.4,72.56
6.96,4625.64,80.05,245.0,0.507,389.89,72.52
6.82,4965.7,81.07,250.0,0.578,412.09,72.59
6.61,4828.32,80.37,255.0,0.557,402.06,72.33
6.88,4898.43,80.89,260.0,0.602,405.09,72.62
6.64,5102.03,81.55,265.0,0.632,429.74,72.65
7.1,4728.58,80.32,270.0,0.556,391.45,72.57
7.43,4862.81,80.76,275.0,0.554,399.62,72.6
6.94,5278.37,82.11,280.0,0.709,451.61,72.55
6.73,4810.63,80.73,285.0,0.563,400.59,72.5
7.21,5003.11,81.26,290.0,0.635,411.42,72.62
6.68,5028.51,81.42,295.0,0.641,421.14,72.56
6.75,4789.6,80.72,300.0,0.571,398.21,72.68
7.24,4916.85,81.05,305.0,0.597,409.39,72.54
6.73,5332.48,82.41,310.0,0.76,457.98,72.62
6.93,4612.77,80.23,315.0,0.565,388.7,72.56
7.26,4272.3,79.44,320.0,0.432,356.78,72.54
6.74,5040.52,81.55,325.0,0.665,413.45,72.55
7.15,4786.61,80.75,330.0,0.602,396.09,72.64
7.0,4707.93,80.56,335.0,0.549,390.07,72.57
